[2026-09-16 12:07:35] Revenue Worker REVENUE-MAC-DBFA22 started. Target: http://127.0.0.1:8080
[2026-09-16 12:07:35] Claimed task REV-AD549EA4
[2026-09-16 12:07:35] Executing revenue_v1_safety_baseline.py worker...
[2026-09-16 12:07:36] Posting result...
[2026-09-16 12:07:36] Task REV-AD549EA4 completed.
[2026-09-16 12:19:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:43] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:43] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:48] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:48] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:53] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:53] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:58] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:19:58] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:43] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:43] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:48] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:48] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:53] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:53] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:58] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:20:58] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:03] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:08] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:13] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:18] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:23] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:28] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:33] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:38] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:21:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:04] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:04] HTTPError: 401 {"error":"Unauthorized"}

